Datetime,Open,High,Low,Close,Volume,SMA,short_ema,long_ema,MACD,Signal_Line,Buy_Signal,Sell_Signal
2023-09-05,89100.0,90700.0,89100.0,90100.0,2013202,,90100.0,90100.0,0.0,0.0,False,False
2023-09-06,90200.0,90200.0,89700.0,90200.0,2057603,,90115.38461538461,90107.4074074074,7.977207977208309,1.5954415954416619,False,False
2023-09-07,90000.0,90800.0,89500.0,89500.0,1958302,,90020.71005917159,90062.41426611796,-41.70420694637869,-7.064488112922408,False,False
2023-09-08,89500.0,89500.0,89100.0,89500.0,1381905,,89940.60081929903,90020.75395010924,-80.15313081021304,-21.682216652380536,False,False
2023-09-11,89600.0,90000.0,88000.0,88500.0,2592500,,89718.96992402224,89908.10550936041,-189.1355853381683,-55.1728903895381,False,False
2023-09-12,89000.0,90000.0,88900.0,89900.0,1612100,,89746.8207049419,89907.50510125964,-160.684396317738,-76.27519157517807,False,False
2023-09-13,90000.0,90000.0,88900.0,89100.0,1675000,,89647.30982725853,89847.68990857374,-200.38008131520473,-101.0961695231834,False,False
2023-09-14,89000.0,89500.0,88100.0,89100.0,1552600,,89563.1083153726,89792.30547090161,-229.19715552900743,-126.7163667243482,False,False
2023-09-15,88900.0,89800.0,88600.0,89800.0,2235400,,89599.55318993067,89792.87543602001,-193.32224608934484,-140.03754259734754,False,False
2023-09-18,89500.0,89700.0,88300.0,88800.0,789102,,89476.54500686441,89719.32910742595,-242.7841005615337,-160.5868541901848,False,False
2023-09-19,88800.0,89200.0,86000.0,88100.0,1210203,,89264.7688519622,89599.37880317218,-334.6099512099754,-195.39147359414295,False,False
2023-09-20,88100.0,88400.0,86400.0,88000.0,1057027,,89070.18902858341,89480.9062992335,-410.717270650086,-238.45663300533158,False,False
2023-09-21,88000.0,88000.0,86800.0,87000.0,1359910,,88751.69840880136,89297.13546225322,-545.4370534518675,-299.8527170946388,False,False
2023-09-22,86400.0,89500.0,86000.0,89300.0,2679610,,88836.052499755,89297.34765023447,-461.29515047947643,-332.14120377160634,False,False
2023-09-25,89000.0,89500.0,88300.0,89300.0,2303421,,88907.42903825422,89297.54412058748,-390.1150823332573,-343.73597948393655,False,False
2023-09-26,89200.0,89400.0,86900.0,87000.0,1663215,,88613.97841698435,89127.35566721062,-513.3772502262727,-377.6642336324038,False,False
2023-09-27,87600.0,89000.0,87000.0,87800.0,1368902,,88488.75096821753,89029.03302519502,-540.2820569774922,-410.18779830142154,False,False
2023-09-28,87200.0,88300.0,86600.0,88000.0,1065102,,88413.55851156867,88952.80835666205,-539.2498450933781,-436.0002076598129,False,False
2023-09-29,88300.0,88300.0,87100.0,87500.0,613316,,88273.01104825042,88845.19292283522,-572.1818745847995,-463.2365410448102,False,False
2023-10-02,87100.0,87200.0,86500.0,86500.0,765716,88650.0,88000.24011775036,88671.47492855112,-671.2348108007573,-504.8361949959997,False,True
2023-10-03,86500.0,86700.0,85800.0,86300.0,1066600,88460.0,87738.66471501953,88495.81011902883,-757.145404009294,-555.2980367986586,False,True
2023-10-04,86300.0,86300.0,85300.0,86300.0,922800,88265.0,87517.33168193961,88333.15751761929,-815.8258356796723,-607.4035965748614,False,True
2023-10-05,86000.0,86000.0,84500.0,84500.0,1014000,88015.0,87053.12680779505,88049.21992372155,-996.0931159265019,-685.1415004451895,False,True
2023-10-06,84500.0,85400.0,83500.0,85400.0,800900,87810.0,86798.7996065958,87852.98141085329,-1054.1818042574887,-758.9495612076494,False,True
2023-10-09,85400.0,85400.0,84000.0,84600.0,1212100,87615.0,86460.5227440426,87612.01982486417,-1151.497080821573,-837.4590651304342,False,True
2023-10-10,84600.0,86200.0,84600.0,86100.0,802101,87425.0,86405.05770649758,87500.01835635572,-1094.9606498581416,-888.9593820759757,False,True
2023-10-11,86200.0,86500.0,85700.0,86500.0,815401,87295.0,86419.66421319026,87425.94292255159,-1006.2787093613297,-912.4232475330465,False,True
2023-10-12,86900.0,86900.0,85500.0,86000.0,882100,87140.0,86355.10048808408,87320.3175208811,-965.2170327970234,-922.982004585842,False,True
2023-10-13,86000.0,86600.0,85500.0,86600.0,788100,86980.0,86392.77733607114,87266.9606674825,-874.183331411361,-913.2222699509458,False,False
2023-10-16,85600.0,86600.0,85600.0,86100.0,551300,86845.0,86347.73466898328,87180.51913655788,-832.7844675746019,-897.134709475677,False,False
2023-10-17,86100.0,86500.0,85500.0,85900.0,488400,86735.0,86278.85241221661,87085.66586718323,-806.8134549666138,-879.0704585738645,False,False
2023-10-18,85500.0,86000.0,85000.0,85900.0,1266400,86630.0,86220.56742572175,86997.83876591039,-777.2713401886431,-858.7106348968202,False,False
2023-10-19,85500.0,86000.0,84100.0,84500.0,1408600,86505.0,85955.86474484147,86812.81367213925,-856.9489272977808,-858.3582933770124,False,False
2023-10-20,83500.0,85300.0,82700.0,84800.0,938400,86280.0,85778.03939948125,86663.7163630919,-885.6769636106474,-863.8220274237394,False,True
2023-10-23,84500.0,84500.0,82500.0,84500.0,1130600,86040.0,85581.4179534072,86503.44107693694,-922.0231235297397,-875.4622466449396,False,True
2023-10-24,84500.0,86500.0,83900.0,86000.0,994000,85990.0,85645.81519134456,86466.14914531198,-820.3339539674198,-864.4365881094357,True,False
2023-10-25,85100.0,85800.0,84600.0,85800.0,924100,85890.0,85669.53593113771,86416.80476417777,-747.268833040056,-841.0030370955599,False,False
2023-10-26,85000.0,86000.0,83500.0,84500.0,1520300,85715.0,85489.6073263473,86274.81922609052,-785.2118997432262,-829.8448096250931,False,False
2023-10-27,84600.0,85000.0,83800.0,85000.0,911400,85590.0,85414.28312229387,86180.38817230603,-766.1050500121637,-817.0968577025074,False,False
